,timestamp,open,high,low,close,adjusted close,volume,dividend amount
2,2022-03-31,102.2,107.52,94.33,102.71,102.71,14553422,0.0
3,2022-02-28,111.81,119.0,97.27,102.53,102.53,15627202,0.0
4,2022-01-31,126.4,133.75,102.91,111.66,111.66,27765681,0.0
5,2021-12-31,123.26,128.3,117.7445,126.4,126.4,11836950,0.0
6,2021-11-30,120.0,125.76,120.0,121.85,121.85,11348691,0.0
7,2021-10-29,109.97,118.93,104.09,115.79,115.79,12994341,0.0
8,2021-09-30,104.0,117.869,103.84,110.58,110.58,12587994,0.0
9,2021-08-31,104.78,105.4,95.621,103.46,103.46,11250254,0.0
10,2021-07-30,97.91,106.12,97.56,104.3,104.3,13355804,0.0
11,2021-06-30,99.86,101.05,94.4203,97.22,97.22,15066669,0.0
12,2021-05-28,100.97,101.19,91.745,99.61,99.61,15799714,0.0
13,2021-04-30,106.56,113.5,100.0,100.16,100.16,14756807,0.0
14,2021-03-31,107.33,108.56,100.09,106.01,106.01,23083621,0.0
15,2021-02-26,97.61,118.5,96.94,105.81,105.81,22831365,0.0
16,2021-01-29,101.5,105.0,95.09,95.71,95.71,18841898,0.0
17,2020-12-31,94.14,101.4,92.155,101.1,101.1,19587523,0.0
18,2020-11-30,84.12,94.5,84.04,93.29,93.29,24544000,0.0
19,2020-10-30,76.91,84.05,72.45,83.66,83.66,24052850,0.0
20,2020-09-30,79.23,80.17,75.604,76.75,76.75,20513328,0.0
21,2020-08-31,78.71,84.145,78.2,78.64,78.64,24555341,0.0
22,2020-07-31,69.17,78.76,68.98,77.96,77.96,21469869,0.0
23,2020-06-30,64.91,72.34,64.56,69.13,69.13,29639573,0.0
24,2020-05-29,63.23,66.4,61.3515,64.76,64.76,26335007,0.0
25,2020-04-30,57.93,64.85,56.645,64.25,64.25,31254155,0.0
26,2020-03-31,63.6,64.95,50.94,59.18,59.18,38969805,0.0
27,2020-02-28,70.29,73.86,59.35,62.2,62.2,27799787,0.0
28,2020-01-31,68.3,72.95,67.96,70.18,70.18,22302224,0.0
